view,factor,r2,p_value,padj
cellular,Factor1,24.969342418768083,3.282824781863185e-10,3.282824781863185e-9
soluble,Factor1,36.1488543553106,3.282824781863185e-10,3.282824781863185e-9
insoluble,Factor1,37.78493531082076,3.282824781863185e-10,3.282824781863185e-9
cellular,Factor2,15.92982816546905,0.11546876928842494,0.35420081271680715
soluble,Factor2,7.778153242055074,0.11546876928842494,0.35420081271680715
insoluble,Factor2,20.436275636560186,0.11546876928842494,0.35420081271680715
cellular,Factor3,3.1998722851324657,0.5994664061370583,0.8563805801957975
soluble,Factor3,5.048037943129913,0.5994664061370583,0.8563805801957975
insoluble,Factor3,3.2361315596583395,0.5994664061370583,0.8563805801957975
cellular,Factor4,10.963790358135206,0.24796438024256973,0.49592876048513945
soluble,Factor4,0.02622919812074187,0.24796438024256973,0.49592876048513945
insoluble,Factor4,0.02329347175452634,0.24796438024256973,0.49592876048513945
cellular,Factor5,7.976938608028005,0.14168032508672285,0.35420081271680715
soluble,Factor5,0.06390977891167493,0.14168032508672285,0.35420081271680715
insoluble,Factor5,0.09613587986256888,0.14168032508672285,0.35420081271680715
cellular,Factor6,0.09522598734689192,0.9110055448186082,0.9681640434908995
soluble,Factor6,7.088655604893246,0.9110055448186082,0.9681640434908995
insoluble,Factor6,0.01987834764194396,0.9110055448186082,0.9681640434908995
cellular,Factor7,2.9393421263657182,0.9681640434908995,0.9681640434908995
soluble,Factor7,1.6123490132548768,0.9681640434908995,0.9681640434908995
insoluble,Factor7,2.0005545657738377,0.9681640434908995,0.9681640434908995
cellular,Factor8,2.675552257237712,0.7755064562400986,0.9681640434908995
soluble,Factor8,0.6444406399224722,0.7755064562400986,0.9681640434908995
insoluble,Factor8,1.8133466060634817,0.7755064562400986,0.9681640434908995
cellular,Factor9,0.39713473014978407,0.3886420736996553,0.6477367894994256
soluble,Factor9,0.17339010681239886,0.3886420736996553,0.6477367894994256
insoluble,Factor9,3.4476410611466446,0.3886420736996553,0.6477367894994256
cellular,Factor10,0.5547665276687264,0.08002502035320318,0.35420081271680715
soluble,Factor10,1.0662238648595501,0.08002502035320318,0.35420081271680715
insoluble,Factor10,1.8538106424190959,0.08002502035320318,0.35420081271680715
